path	category	relevance	essentiality	note
.clang-tidy	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
.cursorrules	misc	support	optional	
.devcontainer/devcontainer.json	dev_env	developer onboarding	optional	Containerized dev env
.editorconfig	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
.gitattributes	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
.github/ISSUE_TEMPLATE/bug_report.md	misc	support	optional	
.github/ISSUE_TEMPLATE/rfc.md	misc	support	optional	
.github/ISSUE_TEMPLATE/spec_clarification.md	misc	support	optional	
.github/copilot-instructions.md	misc	support	optional	
.github/instructions/spec.instructions.md	misc	support	optional	
.github/workflows/bench.yml	ci	automation	essential	CI/CD and policy gates
.github/workflows/ci.yml	ci	automation	essential	CI/CD and policy gates
.github/workflows/codeql.yml	ci	automation	essential	CI/CD and policy gates
.github/workflows/pdf.yaml	ci	automation	essential	CI/CD and policy gates
.github/workflows/release.yml	ci	automation	essential	CI/CD and policy gates
.github/workflows/repro-ledger.yml	ci	automation	essential	CI/CD and policy gates
.github/workflows/runtime-contract.yml	ci	automation	essential	CI/CD and policy gates
.github/workflows/sidebar.yml	ci	automation	essential	CI/CD and policy gates
.github/workflows/static.yml	ci	automation	essential	CI/CD and policy gates
.github/workflows/t81lang-repro-hash-refresh.yml	ci	automation	essential	CI/CD and policy gates
.github/workflows/toc.yml	ci	automation	essential	CI/CD and policy gates
.gitignore	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
.pre-commit-config.yaml	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
AGENTS.md	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
ANALYSIS.md	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
docs/archive/analysis.md.archived	archived	historical	redundant_candidate	Archived superseded doc
ARCHITECTURE.md	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
CHANGELOG.md	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
CLAUDE.md	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
CMakeLists.txt	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
CODEOWNERS	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
CONTRIBUTING.md	misc	support	optional	
DESIGN.md	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
Doxyfile	misc	support	optional	
LICENSE	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
LICENSE-GPL	misc	support	optional	
LICENSE-MIT	misc	support	optional	
Makefile	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
README.es.md	misc	support	optional	
README.md	misc	support	optional	
README.pt-BR.md	misc	support	optional	
README.ru.md	misc	support	optional	
README.zh-CN.md	misc	support	optional	
ROADMAP.md	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
SECURITY.md	misc	support	optional	
STATUS.md	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
TASKS.md	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
TODO.md	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
WHITEPAPER.md	misc	support	optional	
_config.yaml	repo_root_control	governance/build/docs	essential	Repository control/entrypoint file
examples/tisc/axion-guard.tisc	misc	support	optional	
