path	type	status	last_updated	inbound_links	recommendation	reason
docs/.DS_Store	none			0	keep	non-markdown artifact
docs/.bundle/config	none			0	keep	non-markdown artifact
docs/README.md	md			0	keep	index/readme document
docs/architecture/ARCHITECTURE_DOC_STANDARD.md	md	Active	2026-02-26	0	update	no inbound docs links detected
docs/architecture/DEPENDENCY_FIREWALL.md	md			1	keep	active doc or support artifact
docs/architecture/OVERVIEW.md	md	Active	2026-02-26	1	keep	active doc or support artifact
docs/architecture/README.md	md	Active	2026-02-26	0	keep	index/readme document
docs/architecture/adr/ADR-0001-dependency-firewall.md	md	Accepted	2026-02-25	0	update	no inbound docs links detected
docs/architecture/adr/ADR-0002-deterministic-core-profile.md	md	Accepted	2026-02-25	0	update	no inbound docs links detected
docs/architecture/adr/ADR-0003-public-api-boundary.md	md	Accepted	2026-02-25	0	update	no inbound docs links detected
docs/architecture/adr/ADR-0004-determinism-surface-registry.md	md	Accepted	2026-02-25	0	update	no inbound docs links detected
docs/architecture/adr/ADR_TEMPLATE.md	md	Proposed | Accepted | Superseded	YYYY-MM-DD	0	update	no inbound docs links detected
docs/architecture/cross-cutting/README.md	md	Active	2026-02-26	0	keep	index/readme document
docs/architecture/cross-cutting/capability-boundaries.md	md	Active	2026-02-26	0	update	no inbound docs links detected
docs/architecture/cross-cutting/determinism.md	md	Active	2026-02-26	0	update	no inbound docs links detected
docs/architecture/cross-cutting/execution-model.md	md	Active	2026-02-26	0	update	no inbound docs links detected
docs/architecture/cross-cutting/governance-axion.md	md	Active	2026-02-26	0	update	no inbound docs links detected
docs/architecture/diagrams/README.md	md	Active	2026-02-26	0	keep	index/readme document
docs/architecture/diagrams/axion-enforcement-flow.mmd	mmd			1	keep	non-markdown artifact
docs/architecture/diagrams/canonfs-dataflow.mmd	mmd			1	keep	non-markdown artifact
docs/architecture/diagrams/capability-boundaries.mmd	mmd			1	keep	non-markdown artifact
docs/architecture/diagrams/data-types-stack.mmd	mmd			1	keep	non-markdown artifact
docs/architecture/diagrams/determinism-boundary.mmd	mmd			1	keep	non-markdown artifact
docs/architecture/diagrams/execution-model-flow.mmd	mmd			1	keep	non-markdown artifact
docs/architecture/diagrams/experimental-tiers-structure.mmd	mmd			1	keep	non-markdown artifact
docs/architecture/diagrams/governance-axion-sequence.mmd	mmd			2	keep	non-markdown artifact
docs/architecture/diagrams/overview-layer-cake.mmd	mmd			1	keep	non-markdown artifact
docs/architecture/diagrams/tisc-isa-structure.mmd	mmd			1	keep	non-markdown artifact
docs/architecture/diagrams/vm-dispatch-flow.mmd	mmd			1	keep	non-markdown artifact
docs/architecture/diagrams/vm-internal-structure.mmd	mmd			1	keep	non-markdown artifact
docs/architecture/layers/README.md	md	Active	2026-02-26	0	keep	index/readme document
docs/architecture/layers/axion.md	md	Active	2026-02-26	0	update	no inbound docs links detected
docs/architecture/layers/canonfs.md	md	Active	2026-02-26	0	update	no inbound docs links detected
docs/architecture/layers/data-types.md	md	Active	2026-02-26	0	update	no inbound docs links detected
docs/architecture/layers/experimental-tiers.md	md	Active	2026-02-26	0	update	no inbound docs links detected
docs/architecture/layers/tisc-isa.md	md	Active	2026-02-26	0	update	no inbound docs links detected
docs/architecture/layers/vm.md	md	Active	2026-02-26	0	update	no inbound docs links detected
